Key,Item Type,Publication Year,Author,Title,SourceID,ConferenceID,Publication Title,ISBN,ISSN,DOI,Url,Publication Source,ISIC Section,ISIC Division,ISIC Group,ISIC Class,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Conference Name,SS1,SS2,SS3,SS4,SS5,SS6,SS7,SS8,SS9,SS10,SR1,SR2,SR3,SR4,SR5,SR6,SR7,SR8,SR9,SR10,SR11,SR12,SR13,SR14,SR15,SR16,SSTOTAL,SRTOTAL,SAFETY CHECK SS2,SAFETY CHECK SS4,SAFETY CHECK SS8,SAFETY CHECK SR8,SAFETY CHECK SR10,SAFETY CHECK SR12,SAFETY CHECK SR15,Column1,Column2
EYZQLZNH,conferencePaper,2020,"Yarkoni, Sheir; Neukart, Florian; Tagle, Eliane Moreno Gomez; Magiera, Nicole; Mehta, Bharat; Hire, Kunal; Narkhede, Swapnil; Hofmann, Martin",Quantum Shuttle: traffic navigation with Quantum computing,,,Proceedings of the 1st ACM SIGSOFT International Workshop on Architectures and Paradigms for Engineering Quantum Software,978-1-4503-8100-0,,,https://doi.org/10.1145/3412451.3428500,Workshop,H,52,522,5229,,2020,4/11/2022 15:14,5/12/2022 16:07,,22–30,,,,,,,,,,,Association for Computing Machinery,,,,,,,,,Type: 10.1145/3412451.3428500,,C:\Users\cfpgo\Zotero\storage\ANBE8PQ8\Yarkoni et al. - 2020 - Quantum Shuttle traffic navigation with Quantum c.pdf,,included; reverse snowball; forward snowball,,,,NO,N/A,YES,N/A,N/A,YES,YES,NO,NO,YES,YES,YES,YES,NO,NO,YES,NO,N/A,YES,YES,YES,YES,YES,NO,N/A,YES,0.571428571,0.714285714,OK,OK,OK,OK,OK,OK,OK,0,0
MPRYLMM6,conferencePaper,2018,"Pereira, Cristiane S.; Dias, Douglas M.; Vellasco, Marley M. B. R.; Viana, Francisco Henrique F.; Martí, Luis",Crude oil refinery scheduling: addressing a real-world multiobjective problem through genetic programming and dominance-based approaches,,556,Proceedings of the Genetic and Evolutionary Computation Conference Companion,978-1-4503-5764-7,,,https://doi.org/10.1145/3205651.3208291,Conference,B,06,061,0610,,2018,4/11/2022 15:14,5/11/2022 15:58,,1821–1828,,,,,,,,,,,Association for Computing Machinery,"Kyoto, Japan",,,,,,,,Type: 10.1145/3205651.3208291,,C:\Users\cfpgo\Zotero\storage\AWKUHIRQ\Pereira et al. - 2018 - Crude oil refinery scheduling addressing a real-w.pdf,,"crude oil refinery scheduling, evolutionary multiobjective optimization algorithm, quantum-inspired genetic programming; included; evolutionary multiobjective optimization algorithm, crude oil refinery scheduling, quantum-inspired genetic programming; reverse snowball; forward snowball",,,,NO,N/A,YES,N/A,N/A,YES,YES,NO,NO,YES,YES,YES,YES,YES,NO,YES,YES,N/A,YES,YES,YES,YES,NO,NO,N/A,NO,0.571428571,0.714285714,OK,OK,OK,OK,OK,OK,OK,1,1
9D3F362N,journalArticle,2020,T. Stollenwerk; S. Hadfield; Z. Wang,Toward Quantum Gate-Model Heuristics for Real-World Planning Problems,,,IEEE Transactions on Quantum Engineering,,2689-1808,10.1109/TQE.2020.3030609,,Journal,H,51,511,5110,,2020,4/11/2022 15:14,5/12/2022 15:41,,1-16,,,1,,IEEE Transactions on Quantum Engineering,,,,,,,,,,,,,,,,,C:\Users\cfpgo\Zotero\storage\D3JMRSFE\T. Stollenwerk et al. - 2020 - Toward Quantum Gate-Model Heuristics for Real-Worl.pdf; C:\Users\cfpgo\Zotero\storage\D4L3QKEA\9222273.html; C:\Users\cfpgo\Zotero\storage\4553WJ3S\9222273.html,,included; reverse snowball; forward snowball,Logic gates; Annealing; Combinatorial optimization; Quantum computing; Planning; Airports; quantum computing; Cost function; operations research; quantum algorithms; quantum approximate optimization; quantum circuits; quantum resource estimation,,,NO,N/A,NO,N/A,N/A,N/A,NO,N/A,NO,YES,YES,YES,YES,YES,NO,YES,YES,N/A,N/A,N/A,YES,YES,YES,NO,N/A,YES,0.2,0.833333333,OK,OK,OK,OK,OK,OK,OK,,
5XELXZHF,conferencePaper,2021,"Ferrari Dacrema, Maurizio; Felicioni, Nicolo; Cremonesi, Paolo",Optimizing the selection of recommendation carousels with quantum computing,,28,"15th ACM Conference on Recommender Systems, RecSys 2021, September 27, 2021  -  October 1, 2021",,,10.1145/3460231.3478853,,Conference,J,63,631,6311,"It has been long known that quantum computing has the potential to revolutionize the way we find solutions of problems that are difficult to solve on classical computers. It was only recently that small but functional quantum computers have become available on the cloud, allowing to test their potential. In this paper we propose to leverage their capabilities to address an important task for recommender systems providers, the optimal selection of recommendation carousels. In many video-on-demand and music streaming services the user is provided with a homepage containing several recommendation lists, i.e., carousels, each built with a certain criteria (e.g., artist, mood, Action movies etc.). Choosing which set of carousels to display is a difficult problem because it needs to account for how the different recommendation lists interact, e.g., avoiding duplicate recommendations, and how they help the user explore the catalogue. We focus in particular on the adiabatic computing paradigm and use the D-Wave quantum annealer, which is able to solve NP-hard optimization problems, can be programmed by classical operations research tools and is freely available on the cloud. We propose a formulation of the carousel selection problem for black box recommenders, that can be solved effectively on a quantum annealer and has the advantage of being simple. We discuss its effectiveness, limitations and possible future directions of development.  2021 Owner/Author.",2021,4/11/2022 15:14,5/13/2022 22:04,,691-696,,,,,,,RecSys 2021 - 15th ACM Conference on Recommender Systems,,,,"Association for Computing Machinery, Inc","Virtual, Online, Netherlands",,,,,,,,,,C:\Users\cfpgo\Zotero\storage\B9BIPMP8\Ferrari Dacrema et al. - 2021 - Optimizing the selection of recommendation carouse.pdf; ,http://dx.doi.org/10.1145/3460231.3478853,Optimization; Annealing; Quantum computers; Recommender systems; Operations research; User interfaces; Video on demand; included; reverse snowball; forward snowball,,,,YES,YES,YES,N/A,N/A,YES,NO,N/A,NO,YES,YES,YES,YES,NO,YES,YES,YES,YES,YES,N/A,YES,YES,YES,YES,YES,NO,0.714285714,0.866666667,OK,OK,OK,OK,OK,OK,OK,,
G5PG4F3Y,conferencePaper,2020,"Fernandes, Clifford; Lobo, Desmond; Gawane, Sarang; Wagaskar, Kalpita",Proposed quantum AI solution for the travelling tournament problem,,,"2020 International Conference for Emerging Technology, INCET 2020, June 5, 2020  -  June 7, 2020",,,10.1109/INCET49848.2020.9154037,,Conference,R,93,931,9312,"In this paper, we propose an idea/solution for the Travelling Tournament Problem, which is a unique combinatorial problem tackling both feasibility and optimality of the solution. Being an NP-Hard problem, generating solutions can be extremely cost-ly, with most of the solutions of the said problem having a time complexity of as high as O(n!). Quantum Computing and artificial intelligence, on the other hand, is making great strides, and we believe that the immense computational potential of quantum computing can be used to solve these scheduling problems. Artificial Intelligence and machine learning present us with excellent frame-work strategies that we have envisaged to incorporate in our implementation. In the following paper, we delineate the features of our solution and how we propose to incorporate the quantum and classical aspects of computing.  2020 IEEE.",2020,4/11/2022 15:14,5/4/2022 11:36,,,,,,,,,"2020 International Conference for Emerging Technology, INCET 2020",,,,Institute of Electrical and Electronics Engineers Inc.,"Belgaum, India",,,,,,,,,,C:\Users\cfpgo\Zotero\storage\IF837BLX\Fernandes et al. - 2020 - Proposed quantum AI solution for the travelling to.pdf; ,http://dx.doi.org/10.1109/INCET49848.2020.9154037,Quantum computers; NP-hard; Artificial intelligence; Operations research; included; reverse snowball; forward snowball,,,,NO,N/A,NO,N/A,NO,N/A,YES,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,N/A,NO,NO,YES,NO,YES,NO,N/A,YES,0.142857143,0.357142857,OK,OK,OK,OK,OK,OK,OK,,
PGDJVL33,journalArticle,2019,"Mahdi, F.P.; Vasant, P.; Abdullah-Al-Wadud, M.; Kallimani, V.; Watada, J.",Quantum-behaved bat algorithm for many-objective combined economic emission dispatch problem using cubic criterion function,24800,,Neural Computing and Applications,,0941-0643,10.1007/s00521-018-3399-z,,Journal,D,35,351,3510,"In this research, a quantum computing idea based bat algorithm (QBA) is proposed to solve many-objective combined economic emission dispatch (CEED) problem. Here, CEED is represented using cubic criterion function to reduce the nonlinearities of the system. Along with economic load dispatch, emissions of SO2, NOx, and CO2 are considered as separate three objectives, thus making it a four-objective (many-objective) optimization problem. A unit-wise price penalty factor is considered here to convert all the objectives into a single objective in order to compare the final results with other previously used methods like Lagrangian relaxation (LR), particle swarm optimization, and simulated annealing. QBA is applied in six-unit power generation system for four different loads. The obtained results show QBA successfully solve many-objective CEED problem with greater superiority than other methods found in the literature in terms of quality results, robustness, and computational performance. In the end of this paper, a detailed future research direction is provided based on the simulation results and its analysis. The outcome of this research demonstrates that the inclusion of quantum computing idea in metaheuristic technique provides a useful and reliable tool for solving such many-objective optimization problem.",2019-10,4/11/2022 15:14,5/11/2022 16:34,,5857-69,,10,31,,Neural Computing and Applications,,Neural Comput. Appl. (Germany),,,,,,,,,,,,,Place: Germany Publisher: Springer,,C:\Users\cfpgo\Zotero\storage\DTWCFPEH\Mahdi et al. - 2019 - Quantum-behaved bat algorithm for many-objective c.pdf; ,http://dx.doi.org/10.1007/s00521-018-3399-z,environmental economics; quantum computing; operations research; air pollution; optimisation; power generation dispatch; power generation economics; included; reverse snowball; forward snowball,,,,YES,YES,YES,N/A,N/A,YES,YES,NO,NO,YES,NO,YES,YES,NO,NO,YES,YES,NO,YES,YES,YES,YES,YES,NO,N/A,YES,0.75,0.666666667,OK,OK,OK,OK,OK,OK,OK,,
7HVIKD4U,journalArticle,2016,Li-Ling Peng; Guo-Feng Fan; Min-Liang Huang; Wei-Chiang Hong,Hybridizing DEMD and Quantum PSO with SVR in Electric Load Forecasting,62932,,Energies,,1996-1073,10.3390/en9030221,,Journal,D,35,351,3510,"Electric load forecasting is an important issue for a power utility, associated with the management of daily operations such as energy transfer scheduling, unit commitment, and load dispatch. Inspired by strong non-linear learning capability of support vector regression (SVR), this paper presents an SVR model hybridized with the differential empirical mode decomposition (DEMD) method and quantum particle swarm optimization algorithm (QPSO) for electric load forecasting. The DEMD method is employed to decompose the electric load to several detail parts associated with high frequencies (intrinsic mode function-IMF) and an approximate part associated with low frequencies. Hybridized with quantum theory to enhance particle searching performance, the so-called QPSO is used to optimize the parameters of SVR. The electric load data of the New South Wales (Sydney, Australia) market and the New York Independent System Operator (NYISO, New York, USA) are used for comparing the forecasting performances of different forecasting models. The results illustrate the validity of the idea that the proposed model can simultaneously provide forecasting with good accuracy and interpretability.",2016-03,4/11/2022 15:14,5/12/2022 16:15,,221 (20 pp.),,3,9,,Energies,,Energies (Switzerland),,,,,,,,,,,,,Place: Switzerland Publisher: MDPI AG,,; C:\Users\cfpgo\Zotero\storage\S9Y5ZW9B\Li-Ling Peng et al. - 2016 - Hybridizing DEMD and Quantum PSO with SVR in Elect.pdf,http://dx.doi.org/10.3390/en9030221,regression analysis; load forecasting; particle swarm optimisation; support vector machines; included; reverse snowball; forward snowball,,,,YES,YES,YES,N/A,N/A,YES,YES,YES,NO,NO,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,YES,YES,NO,N/A,YES,0.75,0.866666667,OK,OK,OK,OK,OK,OK,OK,,
8YLML8RZ,journalArticle,2014,"Patvardhan, C.; Bansal, S.; Srivastav, A.",Balanced quantum-inspired evolutionary algorithm for multiple knapsack problem,21101021990,,International Journal of Intelligent Systems and Applications,,2074-904X,10.5815/ijisa.2014.11.01,,Journal,M,72,721,7210,"0/1 Multiple Knapsack Problem, a generalization of more popular 0/1 Knapsack Problem, is NP-hard and considered harder than simple Knapsack Problem. 0/1 Multiple Knapsack Problem has many applications in disciplines related to computer science and operations research. Quantum Inspired Evolutionary Algorithms (QIEAs), a subclass of Evolutionary algorithms, are considered effective to solve difficult problems particularly NP-hard combinatorial optimization problems. A hybrid QIEA is presented for multiple knapsack problem which incorporates several features for better balance between exploration and exploitation. The proposed QIEA, dubbed QIEA-MKP, provides significantly improved performance over simple QIEA from both the perspectives viz., the quality of solutions and computational effort required to reach the best solution. QIEA-MKP is also able to provide the solutions that are better than those obtained using a well known heuristic alone.",2014-10,4/11/2022 15:14,5/12/2022 17:08,,1-11,,11,6,,International Journal of Intelligent Systems and Applications,,Int. J. Intell. Syst. Appl. (China),,,,,,,,,,,,,Place: China Publisher: Modern Education & Computer Science Press,,C:\Users\cfpgo\Zotero\storage\8JAXAYLH\Patvardhan et al. - Balanced Quantum-Inspired Evolutionary Algorithm f.pdf; C:\Users\cfpgo\Zotero\storage\6GQM7ZGP\summary.html; ; C:\Users\cfpgo\Zotero\storage\3QZGAQUT\Patvardhan et al. - 2014 - Balanced quantum-inspired evolutionary algorithm f.pdf,http://dx.doi.org/10.5815/ijisa.2014.11.01,evolutionary computation; computational complexity; knapsack problems; included; reverse snowball; forward snowball,,,,YES,YES,NO,YES,YES,N/A,YES,NO,NO,NO,YES,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES,NO,YES,NO,N/A,NO,0.555555556,0.733333333,OK,OK,OK,OK,OK,OK,OK,,
KQ92FIRT,journalArticle,2020,"Ruidas, Subhendu; Seikh, Mijanur Rahaman; Nayak, Prasun Kumar",An EPQ model with stock and selling price dependent demand and variable production rate in interval environment,19700177002,,International Journal of Systems Assurance Engineering and Management,,09756809,10.1007/s13198-019-00867-w,,Journal,C,15,151,1512,"The motto of this paper is to develop a production inventory model in real life situation. In reality, demand of a certain product becomes highly effected by on-hand stock level in stores and the selling price of the product. In the proposed model, demand of the product is dependent on these two vital deceive factors. In real life production systems, always there are some defective products which requires reworking in order to make them useful. The possibility of producing some defective items in regular production process and their reworking has been taken into account in the model. In case of inventories of highly demandable products, it is observed that production rate is proportional to demand. The situation also arises in case of launching a new product or in a multi-stage production system. In this model, production rate is a variable and it varies with the demand rate. Shortages are allowed and it is backlogged fully. Based on these assumptions, several researchers worked on but they considered that the associated inventory cost parameters are fixed real numbers. However, these are not fixed in reality and may vary time to time depending upon some scenario. Main objective of the paper is to develop a production inventory model under those assumptions considering various cost parameters as interval numbers. As a result the corresponding optimization problem is also interval valued. Quantum behaved particle swarm optimization technique has been applied to find the maximum profit in a single cycle. Numerical example and sensitivity analysis are given to illustrate the proposed inventory model.  2019, The Society for Reliability Engineering, Quality and Operations Management (SREQOM), India and The Division of Operation and Maintenance, Lulea University of Technology, Sweden.",2020,4/11/2022 15:14,5/4/2022 11:23,,385-399,,2,11,,International Journal of Systems Assurance Engineering and Management,,,,,,,,,,,,,,,Publisher: Springer,,C:\Users\cfpgo\Zotero\storage\TY5WT3EX\Ruidas et al. - 2020 - An EPQ model with stock and selling price dependen.pdf; ,http://dx.doi.org/10.1007/s13198-019-00867-w,Particle swarm optimization (PSO); Numerical methods; Sensitivity analysis; Inventory control; Defects; included; reverse snowball; forward snowball,,,,NO,N/A,NO,YES,N/A,NO,YES,NO,NO,NO,YES,YES,YES,YES,NO,YES,YES,N/A,YES,YES,YES,YES,YES,NO,N/A,YES,0.25,0.857142857,OK,OK,OK,OK,OK,OK,OK,,
EEM6Q2MC,journalArticle,2020,"Wang, Yongli; Song, Fuhao; Ma, Yuze; Zhang, Yuli; Yang, Jiale; Liu, Yang; Zhang, Fuwei; Zhu, Jinrong",Research on capacity planning and optimization of regional integrated energy system based on hybrid energy storage system,13688,,Applied Thermal Engineering,,1359-4311,10.1016/j.applthermaleng.2020.115834,https://www.sciencedirect.com/science/article/pii/S1359431120333160,Journal,D,35,351,3510,"Some regional integrated energy systems (RIES) have installed equipments such as wind turbine and photovoltaic, but the fluctuation of these intermittent power supply is large, resulting in a certain amount of energy waste. Because energy storage can improve the utilization rate of renewable energy, this paper establishes a storage capacity expansion planning model considering multiple functions of hybrid energy storage in the RIES. In this model, the wavelet packet decomposition method is used to reasonably decompose the high-frequency fluctuation and low-frequency fluctuation of renewable energy to achieve the function of stabilizing fluctuation. Meanwhile, an operation strategy for hybrid energy storage to participate in demand response is proposed. Rain flow counting method is used to research the life of hybrid energy storage system, which improves the accuracy of energy storage annual cost calculation. In the Simulation and Analysis section, the genetic quantum algorithm is used for simulation and analysis of the role and benefits of hybrid energy storage. The simulation results show that the benefit of hybrid energy storage in capacity expansion construction is increased by 10.4%, and when the electricity and gas prices fluctuate by ±20%, the hybrid energy storage configuration proposed in this paper has a stable advantage in more than 95%.",2020-11-05,4/11/2022 15:14,5/3/2022 17:35,,115834,,,180,,Applied Thermal Engineering,,,,,,,,,,,,,,,,,C:\Users\cfpgo\Zotero\storage\R7X7P2WV\Wang et al. - 2020 - Research on capacity planning and optimization of .pdf,,Hybrid energy storage; Capacity expansion planning; Rain flow cycle counting; Regional integrated energy system; Wavelet packet decomposition; included; reverse snowball; forward snowball,,,,NO,N/A,YES,N/A,N/A,YES,YES,NO,NO,YES,YES,YES,YES,NO,NO,YES,YES,N/A,YES,YES,YES,YES,YES,NO,N/A,YES,0.571428571,0.785714286,OK,OK,OK,OK,OK,OK,OK,,
